speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0205,193,131,105,0.678756477,S0204,239,105,90,0.439330544,S0202,674,350,309,0.519287834,1106,586,0.529837251,504,SMNV.tsv,0.174502712,0.216094033,0.609403255,0.239986272,0,0,0,0,0,0,0,0
S0004,2018,1014,743,0.502477701,S0146,5953,4414,3169,0.741474887,S0018,3419,2270,1685,0.663936824,11390,7698,0.675856014,5597,S4L9.tsv,0.177172959,0.522651449,0.300175593,0.175109747,0,0,0,0,0,0,0,0
S0622,2165,1652,1196,0.763048499,S0525,4332,2796,1990,0.645429363,S0617,4751,2719,1987,0.572300568,11248,7167,0.637179943,5173,ST82.tsv,0.192478663,0.385135135,0.422386202,0.123397484,0,0,0,0,0,0,0,0
S0058,963,641,545,0.665628245,S0179,1777,927,787,0.521665729,S0091,38,12,12,0.315789474,2778,1580,0.5687545,1344,SCNN.tsv,0.346652268,0.639668826,0.013678906,0.313207424,0,0,1,1,0,0,0,0
S0520,3691,2228,1691,0.603630452,S0519,2292,1573,1110,0.686300175,S0521,1080,762,535,0.705555556,7063,4563,0.646042758,3336,S24E.tsv,0.522582472,0.324507999,0.152909529,0.184994422,0,0,0,0,0,0,0,0
S0041,15086,11614,7846,0.769852844,S0084,15767,10936,7427,0.693600558,S0046,3986,1985,1426,0.497992975,34839,24535,0.704239502,16699,S7GJ.tsv,0.433020466,0.452567525,0.11441201,0.189843176,0,0,0,0,0,0,0,0
S0198,2262,1418,1149,0.626878868,S0230,1602,991,750,0.618601748,S0229,1158,800,584,0.690846287,5022,3209,0.638988451,2483,SUWQ.tsv,0.45041816,0.318996416,0.230585424,0.110615407,0,0,0,0,0,0,0,0
S0198,1606,910,755,0.566625156,S0230,609,340,280,0.558292282,S0229,436,286,229,0.655963303,2651,1536,0.579403998,1264,S78E.tsv,0.605809129,0.229724632,0.164466239,0.238216202,0,0,0,0,0,0,0,0
S0520,1495,832,692,0.556521739,S0521,894,536,422,0.599552573,S0519,304,163,135,0.536184211,2693,1531,0.568510954,1249,SKEG.tsv,0.555142963,0.331971779,0.112885258,0.221131996,0,0,0,0,0,0,0,0
S0013,1065,661,532,0.620657277,S0012,3289,2221,1649,0.67528124,S0008,6617,4198,3102,0.634426477,10971,7080,0.645337709,5283,SU8C.tsv,0.097074104,0.299790356,0.603135539,0.254692741,1,0,0,1,0,0,0,0
