speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0232,4350,2636,2079,0.6059770114942529,S0198,2929,1678,1257,0.5728917719358143,S0230,226,142,92,0.6283185840707964,7505,4456,0.5937375083277815,3428,S5B6.tsv
S0556,3118,2217,1627,0.7110327132777421,S0405,2789,1610,1210,0.5772678379347437,S0555,1875,943,616,0.5029333333333333,7782,4770,0.612952968388589,3453,S555.tsv
S0559,3380,2181,1576,0.6452662721893491,S0544,2394,1565,1157,0.6537176274018379,S0543,2337,956,616,0.40907145913564397,8111,4702,0.5797065713228948,3349,SRHV.tsv
S0152,3804,2052,1566,0.5394321766561514,S0012,3274,2144,1603,0.6548564447159438,S0013,1509,766,481,0.5076209410205434,8587,4962,0.5778502387329685,3650,S59W.tsv
S0653,3159,1932,1544,0.6115859449192782,S0655,1432,885,627,0.6180167597765364,S0654,1095,486,297,0.4438356164383562,5686,3303,0.5809004572634541,2468,S839.tsv
S0013,1558,1170,846,0.7509627727856226,S0278,10582,6824,5261,0.6448686448686448,S0012,3773,1820,1111,0.48237476808905383,15913,9814,0.6167284610067241,7218,SDXW.tsv
S0192,11219,7642,5330,0.6811658793118817,S0190,675,329,235,0.4874074074074074,S0227,12624,5486,3651,0.4345690747782002,24518,13457,0.5488620605269597,9216,SVKH.tsv
S0653,2153,1323,1081,0.6144914073385973,S0654,945,565,433,0.5978835978835979,S0655,964,406,279,0.4211618257261411,4062,2294,0.5647464303298868,1793,SDAB.tsv
S0013,1168,773,604,0.6618150684931506,S0012,5924,3749,2740,0.6328494260634706,S0152,6412,2510,1546,0.39145352464129757,13504,7032,0.5207345971563981,4890,SZJ7.tsv
S0084,4276,2773,2088,0.6485032740879326,S0041,6102,3835,2844,0.6284824647656506,S0046,672,371,212,0.5520833333333334,11050,6979,0.6315837104072398,5144,SXRR.tsv
S0417,1116,693,527,0.6209677419354839,S0415,2609,1539,1168,0.5898811805289383,S0416,1227,560,357,0.45639771801140994,4952,2792,0.5638126009693053,2052,SBCL.tsv
S0567,1148,609,520,0.5304878048780488,S0621,499,284,219,0.5691382765531062,S0622,580,264,188,0.45517241379310347,2227,1157,0.5195330040413112,927,SUC7.tsv
S0064,1245,707,527,0.5678714859437751,S0164,609,357,256,0.5862068965517241,S0027,1678,695,492,0.41418355184743744,3532,1759,0.4980181200453001,1275,S9CH.tsv
S0456,2173,1225,961,0.5637367694431661,S0458,1642,1007,786,0.6132764920828259,S0457,1327,687,482,0.517709118311982,5142,2919,0.5676779463243874,2229,S75W.tsv
S0511,2971,1767,1484,0.5947492426792326,S0512,912,527,406,0.5778508771929824,S0513,666,327,232,0.49099099099099097,4549,2621,0.5761705869421851,2122,SP3F.tsv
S0519,1840,1160,860,0.6304347826086957,S0522,2072,1193,887,0.5757722007722008,S0520,3449,1578,1070,0.45752391997680486,7361,3931,0.5340307023502242,2817,S2QU.tsv
S0654,307,149,108,0.48534201954397393,S0655,323,167,127,0.5170278637770898,S0653,1143,417,296,0.3648293963254593,1773,733,0.41342357586012407,531,S9UA.tsv
S0525,3776,2579,2039,0.6829978813559322,S0615,2961,1941,1500,0.6555217831813577,S0656,731,329,228,0.45006839945280436,7468,4849,0.6493036957686128,3767,SQVW.tsv
S0655,249,154,119,0.6184738955823293,S0653,756,354,291,0.46825396825396826,S0654,773,232,163,0.3001293661060802,1778,740,0.4161979752530934,573,S3A9.tsv
S0390,953,573,492,0.6012591815320042,S0392,836,452,366,0.5406698564593302,S0391,325,153,115,0.4707692307692308,2114,1178,0.5572374645222328,973,S3CP.tsv
S0013,1685,1249,941,0.741246290801187,S0278,7188,4158,3177,0.5784641068447413,S0012,2487,1306,812,0.5251306795335746,11360,6713,0.5909330985915493,4930,S38P.tsv
S0390,2485,1301,999,0.5235412474849095,S0392,3721,1789,1408,0.4807847352862134,S0391,77,48,35,0.6233766233766234,6283,3138,0.4994429412700939,2442,SQ93.tsv
S0012,1525,962,731,0.6308196721311475,S0008,2109,1203,930,0.5704125177809388,S0013,345,167,122,0.48405797101449277,3979,2332,0.5860769037446595,1783,SZQ9.tsv
S0655,449,312,237,0.6948775055679287,S0654,376,237,194,0.6303191489361702,S0653,1473,335,254,0.22742701968771215,2298,884,0.3846823324630113,685,SZFG.tsv
S0429,2882,1792,1361,0.6217904233171409,S0428,2353,1630,1212,0.6927326816829579,S0430,2345,992,661,0.4230277185501066,7580,4414,0.5823218997361478,3234,SASQ.tsv
S0012,2853,1946,1456,0.6820890290921837,S0013,1005,776,612,0.7721393034825871,S0152,8160,2412,1707,0.29558823529411765,12018,5134,0.42719254451655847,3775,SWTX.tsv
S0653,1750,1080,856,0.6171428571428571,S0655,852,467,342,0.5481220657276995,S0654,759,299,195,0.3939393939393939,3361,1846,0.5492412972329663,1393,SK3P.tsv
S0198,4846,2846,2223,0.5872884853487412,S0230,2548,1721,1274,0.6754317111459969,S0229,709,333,205,0.4696755994358251,8103,4900,0.6047143033444403,3702,SGGE.tsv
S0654,694,405,328,0.5835734870317003,S0653,2002,1129,891,0.563936063936064,S0655,670,309,226,0.46119402985074626,3366,1843,0.547534165181224,1445,S74A.tsv
S0328,793,560,415,0.7061790668348046,S0330,2247,1205,1023,0.536270582999555,S0326,328,173,129,0.5274390243902439,3368,1938,0.5754156769596199,1567,SYA7.tsv
S0653,443,241,194,0.5440180586907449,S0654,960,541,409,0.5635416666666667,S0655,773,327,225,0.4230271668822768,2176,1109,0.5096507352941176,828,SNZS.tsv
S0653,646,353,296,0.5464396284829721,S0655,612,363,301,0.5931372549019608,S0654,860,311,215,0.3616279069767442,2118,1027,0.48489140698772426,812,S7WR.tsv
S0655,895,527,413,0.5888268156424581,S0654,481,248,191,0.5155925155925156,S0653,1819,667,490,0.36668499175371083,3195,1442,0.4513302034428795,1094,S2JK.tsv
S0654,999,413,325,0.4134134134134134,S0653,1836,1137,917,0.619281045751634,S0655,450,237,161,0.5266666666666666,3285,1787,0.5439878234398783,1403,SR3P.tsv
