speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file,av_er_ratio
3,1075,1238,9457,0.289445342,392,285,398,SA6K.tsv,0.649783229
3,1042,1232,10423,0.281926407,403,292,347,SJSQ.tsv,0.633598772
3,698,703,5300,0.330962541,153,275,270,S3SA.tsv,0.667358491
3,977,860,7440,0.378682171,288,312,377,ST6R.tsv,0.610833446
3,1688,1665,21773,0.337937938,375,662,651,SDHB.tsv,0.656455243
3,756,792,5170,0.318181818,291,296,169,S3GS.tsv,0.6344294
3,714,843,5283,0.28232503,258,242,214,SKMV.tsv,0.632027257
3,1303,1181,11203,0.367767429,502,430,371,SB32.tsv,0.676872266
3,1090,1143,11154,0.317876932,426,379,285,S7RA.tsv,0.625720461
3,554,543,2671,0.340085942,195,184,175,SKBN.tsv,0.57543991
3,617,529,3580,0.388783869,235,190,192,SBKH.tsv,0.615363128
3,904,932,6413,0.323319027,350,224,330,SRX4.tsv,0.641085634
3,1739,2061,21608,0.281255054,839,841,59,S7JG.tsv,0.686831257
3,266,352,1684,0.251893939,129,7,130,SKY2.tsv,0.478028504
3,1097,1048,9265,0.348918575,396,362,339,SKYQ.tsv,0.645223961
3,512,545,2695,0.313149847,195,155,162,S9D7.tsv,0.603416264
3,1181,1169,8850,0.336755061,399,412,370,SPTA.tsv,0.654350282
3,1027,1002,8024,0.341650033,358,294,375,S539.tsv,0.65166999
3,1181,1135,11433,0.346842878,453,435,293,SVUC.tsv,0.678387125
3,1894,1825,18891,0.345936073,685,490,719,SMME.tsv,0.655020909
3,1358,1342,11230,0.337307501,446,453,459,S66A.tsv,0.656717748
3,1391,1368,9193,0.338937622,510,499,382,SHJE.tsv,0.630479713
3,1773,1668,21491,0.354316547,691,389,693,SF2Q.tsv,0.68363501
3,663,670,3952,0.329850746,259,147,257,S3SU.tsv,0.606781377
3,686,568,4465,0.40258216,235,197,254,S84P.tsv,0.614471326
3,825,1141,13433,0.241016652,127,361,337,S6A5.tsv,0.439961289
3,893,820,5637,0.36300813,346,287,260,SXC6.tsv,0.627927608
3,1949,2127,33191,0.305438019,832,833,284,S64H.tsv,0.720195234
3,699,649,3566,0.359013867,244,254,201,S6UQ.tsv,0.604096521
3,1528,1424,16042,0.357677903,387,557,584,SD2R.tsv,0.639571126
3,1022,982,10026,0.346911066,245,373,404,SXWR.tsv,0.651506084
3,1156,1222,8636,0.31533006,313,389,454,SJDM.tsv,0.645206114
3,597,570,3622,0.349122807,219,218,160,SQPH.tsv,0.604091789
3,1120,1108,8219,0.336943442,404,371,345,S7JS.tsv,0.64399562
3,857,998,6517,0.286239145,307,238,312,SP9Z.tsv,0.625520111
